step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
338,2023-07-03 08:16:05.159436941,2,194.05,109.0,-0.3574012942294756,0.29069589422949266,0.04999999999998295,0.0167054
344,2023-07-03 08:16:13.914513303,1,194.02,235.0,-0.1770085180355288,0.08031621803554471,0.07999999999998408,0.0166923
351,2023-07-03 08:16:20.051995398,1,194.02,96.0,-0.041834218204301575,0.025398218204301576,0.0,0.016436
357,2023-07-03 08:16:27.882453290,1,194.0,225.0,-0.0940376424122012,0.056792142412190966,0.020000000000010232,0.0172455
358,2023-07-03 08:16:27.882453290,2,194.0,138.0,-0.21683802322318285,0.17959252322317262,0.020000000000010232,0.0172455
362,2023-07-03 08:16:33.975641709,2,193.99,212.0,-0.07187801820430272,0.025398218204301576,0.030000000000001137,0.0164798
385,2023-07-03 08:17:24.981863912,1,193.9,54.0,-0.0891804749763966,0.062212674976405695,0.009999999999990905,0.0169678
391,2023-07-03 08:17:29.577495606,1,193.89,239.0,-0.06192421820431181,0.025398218204301576,0.020000000000010232,0.016526
406,2023-07-03 08:19:25.349414630,2,193.85,245.0,-0.27046058204301576,0.25398218204301576,0.0,0.0164784
408,2023-07-03 08:19:37.914899610,1,193.82,201.0,-0.3004603820430169,0.25398218204301576,0.030000000000001137,0.0164782
411,2023-07-03 08:20:15.556208370,1,193.85,63.0,-0.45641754351571107,0.43991004351571106,0.0,0.0165075
416,2023-07-03 08:20:36.489524962,2,193.85,226.0,-0.3006610820430169,0.25398218204301576,0.030000000000001137,0.0166789
425,2023-07-03 08:21:18.206205953,1,193.82,75.0,-0.31623191132723993,0.23960631132723764,0.060000000000002274,0.0166256
444,2023-07-03 08:22:25.644010327,1,193.79,134.0,-0.10782023640862362,0.05079643640860315,0.040000000000020464,0.0170238
461,2023-07-03 08:22:37.058940039,2,193.84,91.0,-0.5943857241219005,0.5679214241219096,0.009999999999990905,0.0164643
463,2023-07-03 08:22:56.079636722,1,193.84,228.0,-0.18508802184874001,0.1586118218487491,0.009999999999990905,0.0164762
487,2023-07-03 08:26:15.067333624,1,193.76,243.0,-0.21156411576341014,0.19508741576341013,0.0,0.0164767
503,2023-07-03 08:28:02.822018900,1,193.79,180.0,-0.19892249684501193,0.1722590968449926,0.010000000000019327,0.0166634
504,2023-07-03 08:28:02.822018900,2,193.79,55.0,-0.20625592322319194,0.17959252322317262,0.010000000000019327,0.0166634
524,2023-07-03 08:29:42.783672090,1,193.72,205.0,-0.10230321820430385,0.025398218204301576,0.060000000000002274,0.016905
525,2023-07-03 08:29:42.783672090,2,193.72,130.0,-0.10230321820430385,0.025398218204301576,0.060000000000002274,0.016905
531,2023-07-03 08:31:34.440580231,1,193.76,49.0,-0.1009644601272424,0.08423636012724241,0.0,0.0167281
535,2023-07-03 08:31:39.554299736,2,193.79,129.0,-0.17914944657157164,0.16262794657157165,0.0,0.0165215
547,2023-07-03 08:32:47.835719965,1,193.76,137.0,-0.4862605958471747,0.4696953958471747,0.0,0.0165652
549,2023-07-03 08:32:54.798319527,1,193.79,104.0,-0.22592517271764143,0.20943907271764142,0.0,0.0164861
576,2023-07-03 08:35:58.204200088,1,193.83,111.0,-0.062213518204283384,0.025398218204301576,0.01999999999998181,0.0168153
588,2023-07-03 08:36:17.349242209,2,193.83,72.0,-0.21001716713718308,0.19342706713718308,0.0,0.0165901
608,2023-07-03 08:38:16.388548412,1,193.79,231.0,-0.12715061803554584,0.08031621803554471,0.030000000000001137,0.0168344
614,2023-07-03 08:39:02.500669010,1,193.79,176.0,-0.2852198764509418,0.2687894764509418,0.0,0.0164304
627,2023-07-03 08:39:48.413268024,2,193.73,228.0,-0.5711954585577212,0.5547054585577212,0.0,0.01649
631,2023-07-03 08:40:29.029470259,2,193.75,96.0,-0.24780035751854518,0.18137955751853382,0.05000000000001137,0.0164208
650,2023-07-03 08:44:23.658106968,2,193.8,241.0,-0.08826540928926906,0.07183700928926906,0.0,0.0164284
652,2023-07-03 08:44:52.268753552,2,193.8,183.0,-0.07360054241219097,0.056792142412190966,0.0,0.0168084
656,2023-07-03 08:44:52.268753552,2,193.8,69.0,-0.1649041885640667,0.1480957885640667,0.0,0.0168084
657,2023-07-03 08:44:52.268773137,2,193.8,68.0,-0.2228401001010702,0.2063361001010702,0.0,0.016504
670,2023-07-03 08:47:07.699332048,2,193.8,237.0,-0.2704454820430158,0.25398218204301576,0.0,0.0164633
683,2023-07-03 08:48:37.565117559,1,193.8,51.0,-0.06726563640860315,0.05079643640860315,0.0,0.0164692
689,2023-07-03 08:50:29.416437386,1,193.8,114.0,-0.06725453640860315,0.05079643640860315,0.0,0.0164581
698,2023-07-03 08:52:01.616803107,1,193.79,140.0,-0.06254480464465385,0.03591850464463453,0.010000000000019327,0.0166263
699,2023-07-03 08:52:01.616803107,2,193.79,133.0,-0.18523812184876845,0.1586118218487491,0.010000000000019327,0.0166263
714,2023-07-03 08:54:17.325438747,1,193.83,150.0,-0.06057410435157111,0.04399100435157111,0.0,0.0165831
719,2023-07-03 08:54:31.908834317,1,193.79,153.0,-0.10238411820430385,0.025398218204301576,0.060000000000002274,0.0169859
722,2023-07-03 08:54:45.228291314,1,193.78,72.0,-0.052423904644634534,0.03591850464463453,0.0,0.0165054
728,2023-07-03 08:55:27.681246455,1,193.77,98.0,-0.2665272232231658,0.17959252322317262,0.06999999999999318,0.0169347
731,2023-07-03 08:56:01.005201521,2,193.77,166.0,-0.3634977506154191,0.27706185061542593,0.06999999999999318,0.0164359
769,2023-07-03 08:58:26.533925586,2,193.71,107.0,-0.10235521820430385,0.025398218204301576,0.060000000000002274,0.016957
776,2023-07-03 08:58:43.553629148,1,193.71,59.0,-0.21483782549875285,0.19836642549875286,0.0,0.0164714
785,2023-07-03 09:01:13.521128648,1,193.74,203.0,-0.06720513640860315,0.05079643640860315,0.0,0.0164087
786,2023-07-03 09:01:14.016822523,1,193.74,163.0,-0.11479027612860206,0.09836687612860205,0.0,0.0164234
815,2023-07-03 09:06:59.624736298,1,193.75,60.0,-0.1756249703093535,0.13911177030934327,0.020000000000010232,0.0165132
834,2023-07-03 09:08:08.473512361,1,193.7,214.0,-0.052342318204320906,0.025398218204301576,0.010000000000019327,0.0169441
